probe_index	x	y	contact_shapes	radius	shank_ids	contact_ids	device_channel_indices	si_units	plane_axis_x_0	plane_axis_x_1	plane_axis_y_0	plane_axis_y_1
0	1095.0	-200.0	circle	20.0		A-003	0	um	1.0	0.0	0.0	1.0
0	600.0	200.0	circle	20.0		A-005	1	um	1.0	0.0	0.0	1.0
0	528.3989290495315	1178.677376171352	circle	20.0		A-006	2	um	1.0	0.0	0.0	1.0
0	328.3989290495315	978.6773761713521	circle	20.0		A-007	3	um	1.0	0.0	0.0	1.0
0	200.0	0.0	circle	20.0		A-024	4	um	1.0	0.0	0.0	1.0
0	600.0	0.0	circle	20.0		A-025	5	um	1.0	0.0	0.0	1.0
0	528.3989290495315	1378.677376171352	circle	20.0		A-026	6	um	1.0	0.0	0.0	1.0
0	1095.0	300.0	circle	20.0		A-027	7	um	1.0	0.0	0.0	1.0
0	1345.0	-200.0	circle	20.0		A-029	8	um	1.0	0.0	0.0	1.0
0	1345.0	300.0	circle	20.0		A-030	9	um	1.0	0.0	0.0	1.0
0	1845.0	800.0	circle	20.0		B-000	10	um	1.0	0.0	0.0	1.0
0	2345.0	550.0	circle	20.0		B-001	11	um	1.0	0.0	0.0	1.0
0	1845.0	550.0	circle	20.0		B-002	12	um	1.0	0.0	0.0	1.0
0	2345.0	-200.0	circle	20.0		B-003	13	um	1.0	0.0	0.0	1.0
0	2345.0	50.0	circle	20.0		B-004	14	um	1.0	0.0	0.0	1.0
0	2095.0	-200.0	circle	20.0		B-005	15	um	1.0	0.0	0.0	1.0
0	2095.0	300.0	circle	20.0		B-006	16	um	1.0	0.0	0.0	1.0
0	1845.0	50.0	circle	20.0		B-007	17	um	1.0	0.0	0.0	1.0
0	1845.0	300.0	circle	20.0		B-024	18	um	1.0	0.0	0.0	1.0
0	1845.0	-200.0	circle	20.0		B-025	19	um	1.0	0.0	0.0	1.0
0	2095.0	50.0	circle	20.0		B-026	20	um	1.0	0.0	0.0	1.0
0	2345.0	300.0	circle	20.0		B-027	21	um	1.0	0.0	0.0	1.0
0	1595.0	550.0	circle	20.0		B-029	22	um	1.0	0.0	0.0	1.0
0	2095.0	550.0	circle	20.0		B-030	23	um	1.0	0.0	0.0	1.0
0	1595.0	800.0	circle	20.0		B-031	24	um	1.0	0.0	0.0	1.0
0	1625.0	1700.0	circle	20.0		C-008	25	um	1.0	0.0	0.0	1.0
0	1825.0	1700.0	circle	20.0		C-009	26	um	1.0	0.0	0.0	1.0
0	1425.0	1500.0	circle	20.0		C-010	27	um	1.0	0.0	0.0	1.0
0	2025.0	1500.0	circle	20.0		C-012	28	um	1.0	0.0	0.0	1.0
0	1825.0	1300.0	circle	20.0		C-013	29	um	1.0	0.0	0.0	1.0
0	1425.0	1300.0	circle	20.0		C-014	30	um	1.0	0.0	0.0	1.0
0	2095.0	800.0	circle	20.0		C-015	31	um	1.0	0.0	0.0	1.0
0	2345.0	800.0	circle	20.0		C-016	32	um	1.0	0.0	0.0	1.0
0	2025.0	1300.0	circle	20.0		C-018	33	um	1.0	0.0	0.0	1.0
0	1625.0	1500.0	circle	20.0		C-020	34	um	1.0	0.0	0.0	1.0
0	2025.0	1700.0	circle	20.0		C-021	35	um	1.0	0.0	0.0	1.0
0	1825.0	1900.0	circle	20.0		C-022	36	um	1.0	0.0	0.0	1.0
0	1625.0	1900.0	circle	20.0		C-023	37	um	1.0	0.0	0.0	1.0
0	328.3989290495315	1378.677376171352	circle	20.0		D-009	38	um	1.0	0.0	0.0	1.0
0	528.3989290495315	978.6773761713521	circle	20.0		D-010	39	um	1.0	0.0	0.0	1.0
0	600.0	600.0	circle	20.0		D-012	40	um	1.0	0.0	0.0	1.0
0	1345.0	800.0	circle	20.0		D-014	41	um	1.0	0.0	0.0	1.0
0	1425.0	1900.0	circle	20.0		D-015	42	um	1.0	0.0	0.0	1.0
0	1425.0	1700.0	circle	20.0		D-016	43	um	1.0	0.0	0.0	1.0
0	1345.0	550.0	circle	20.0		D-017	44	um	1.0	0.0	0.0	1.0
0	1095.0	550.0	circle	20.0		D-018	45	um	1.0	0.0	0.0	1.0
0	400.0	0.0	circle	20.0		D-020	46	um	1.0	0.0	0.0	1.0
0	128.3989290495315	1178.677376171352	circle	20.0		D-022	47	um	1.0	0.0	0.0	1.0
